week,feature_id,active_users,ai_completion_rate,subscription_conversion_lift_pp,retention_lift_pp,model_accuracy,hallucination_rate,support_escalations_per_10k,p95_latency_ms,data_quality_score
2026-W03,AIP005,134948,54.4,6.46,4.49,68.4,8.5,6.0,1532,71.6
2026-W04,AIP005,140967,61.9,6.06,2.88,69.1,7.2,8.9,1440,79.2
2026-W05,AIP005,138675,56.7,5.54,3.3,66.0,9.4,6.8,1495,76.8
2026-W06,AIP005,143115,58.4,5.28,2.54,70.0,8.6,7.3,1254,84.8
2026-W07,AIP005,130927,54.0,7.2,2.19,72.2,7.4,6.0,1433,69.5
2026-W08,AIP005,143087,54.9,4.15,1.35,67.8,9.0,7.1,1263,72.3
2026-W09,AIP005,126532,59.3,8.0,1.65,72.7,8.6,6.5,1054,76.7
2026-W10,AIP005,162794,63.1,5.94,0.94,71.5,9.1,5.9,1146,73.4
2026-W11,AIP005,140934,54.8,4.89,2.65,67.6,8.6,6.2,1272,77.7
2026-W12,AIP005,152819,61.2,5.35,2.95,69.8,10.5,7.2,1466,74.1
2026-W01,AIP006,95472,55.9,3.88,2.22,61.8,12.6,9.2,1373,74.1
2026-W02,AIP006,96995,53.9,6.42,3.88,66.3,8.0,8.4,1180,81.8
2026-W03,AIP006,112430,59.7,4.9,3.69,64.5,10.0,9.0,1245,71.4
2026-W04,AIP006,97489,61.5,4.37,4.64,63.8,11.7,9.4,1100,74.7
2026-W05,AIP006,100701,52.6,5.77,2.21,62.5,8.6,9.1,1254,78.6
2026-W06,AIP006,94506,51.3,6.3,1.56,66.6,6.9,9.0,1441,66.2
2026-W07,AIP006,105285,52.6,5.94,3.09,66.6,11.3,7.7,1452,70.7
2026-W08,AIP006,103153,58.1,0.49,3.34,62.5,9.4,8.2,1399,76.3
2026-W09,AIP006,107851,49.0,3.49,3.53,64.8,11.6,10.1,1206,74.4
2026-W10,AIP006,92065,55.1,3.36,3.74,55.7,10.5,8.2,1245,68.5
2026-W11,AIP006,97586,50.3,4.1,4.5,63.6,10.4,8.3,1166,73.1
2026-W12,AIP006,92422,56.1,3.89,3.14,67.7,9.9,8.6,1101,75.1
2026-W01,AIP007,125876,65.0,5.42,3.26,77.1,8.5,5.0,1089,76.4
2026-W02,AIP007,114626,57.3,5.3,1.11,81.3,8.8,5.2,1349,84.3
2026-W03,AIP007,115062,64.3,1.97,1.49,80.9,7.0,3.7,1208,90.8
2026-W04,AIP007,127424,68.2,5.41,5.51,78.6,9.2,4.8,1399,91.3
2026-W05,AIP007,124112,70.1,1.94,4.86,79.3,6.1,4.1,1207,88.7
2026-W06,AIP007,113452,66.3,4.93,3.66,76.8,6.1,5.6,1440,84.2
2026-W07,AIP007,122546,65.4,5.14,1.94,75.1,6.9,5.7,1350,84.4
2026-W08,AIP007,112403,62.1,5.31,1.93,76.1,5.3,5.1,1306,89.1
2026-W09,AIP007,131206,75.9,3.86,3.6,75.6,7.3,2.9,1178,81.8
2026-W10,AIP007,138854,60.7,1.97,2.82,74.3,9.1,4.7,1081,91.1
2026-W11,AIP007,128361,63.5,5.19,4.15,78.7,7.2,4.9,1354,79.2
2026-W12,AIP007,123425,59.4,6.45,3.19,75.6,5.1,3.2,1205,83.5
2026-W01,AIP008,120138,66.8,1.54,3.47,75.3,7.0,8.0,1147,78.0
2026-W02,AIP008,114723,64.3,4.85,4.01,71.6,7.5,7.6,1242,83.2
2026-W03,AIP008,106242,60.8,3.77,2.21,74.3,8.0,6.8,1242,86.3
2026-W04,AIP008,122503,62.4,3.56,2.93,77.3,6.8,7.1,1131,75.3
2026-W05,AIP008,116107,59.7,4.64,3.77,69.6,7.5,7.4,1057,83.4
2026-W06,AIP008,107807,58.4,3.22,3.21,67.7,7.2,7.4,1135,83.9
2026-W07,AIP008,110870,61.2,5.87,4.44,72.7,8.9,6.2,1153,78.8
2026-W08,AIP008,132647,60.6,5.24,3.24,76.7,6.9,5.7,1178,80.7
2026-W09,AIP008,110223,49.9,4.27,1.51,73.3,5.0,6.9,1039,81.9
2026-W10,AIP008,97622,61.7,3.99,4.07,81.2,8.1,6.6,1009,81.2
2026-W11,AIP008,117875,60.1,3.28,4.08,74.7,8.4,5.0,1010,78.1
2026-W12,AIP008,110530,68.9,3.22,1.89,77.8,7.6,5.5,1248,85.2
2026-W01,AIP009,71198,44.3,4.46,2.14,67.1,6.5,6.6,983,70.2
2026-W02,AIP009,63879,52.0,3.51,1.59,60.3,5.3,7.7,1149,76.2
2026-W03,AIP009,70118,57.1,2.12,3.58,66.6,5.3,7.4,1079,69.6
2026-W04,AIP009,72756,50.6,5.71,4.02,67.5,7.9,8.4,1182,66.0
2026-W05,AIP009,80841,56.2,4.87,2.99,62.0,7.7,6.0,1079,68.2
2026-W06,AIP009,66596,55.2,5.13,5.47,63.2,6.7,7.3,951,69.9
2026-W07,AIP009,81780,51.3,2.64,0.44,64.4,7.4,7.3,905,73.6
2026-W08,AIP009,70934,57.7,4.93,1.08,65.7,6.1,6.8,933,70.5
2026-W09,AIP009,76648,48.1,2.65,1.07,67.6,7.6,8.0,871,71.6
2026-W10,AIP009,83646,55.3,4.35,1.76,63.7,8.5,8.0,1065,75.0
2026-W11,AIP009,85271,50.2,3.79,2.93,64.2,6.5,7.2,1014,72.7
2026-W12,AIP009,63056,51.0,4.56,5.54,70.2,7.4,8.6,1167,65.8
2026-W01,AIP010,76991,57.0,5.31,3.27,61.3,9.0,4.7,1185,75.5
2026-W02,AIP010,86296,59.0,2.7,1.9,64.7,8.0,4.6,1512,70.7
2026-W03,AIP010,83490,59.0,2.43,3.02,66.1,9.2,3.6,1618,75.3
2026-W04,AIP010,87895,51.7,3.34,2.29,69.0,10.6,5.5,1254,77.8
2026-W05,AIP010,92897,49.5,4.53,3.24,64.7,7.8,5.0,1510,74.4
2026-W06,AIP010,88615,51.6,5.17,2.83,68.7,8.5,3.8,1347,76.3
2026-W07,AIP010,90321,54.5,5.19,3.7,64.8,10.9,4.9,1478,73.0
2026-W08,AIP010,93342,50.6,4.63,3.9,66.2,9.8,5.4,1506,69.5
2026-W09,AIP010,88626,57.4,4.53,1.78,58.3,9.2,4.0,1532,72.3
2026-W10,AIP010,91683,58.5,1.28,3.12,65.8,7.5,4.6,1210,67.4
2026-W11,AIP010,73606,53.2,3.65,3.51,63.2,8.8,3.9,1470,70.6
2026-W12,AIP010,83729,52.7,6.11,4.97,61.7,9.0,5.0,1360,73.5
2026-W01,AIP011,130299,60.5,4.3,3.96,73.9,7.4,5.8,1453,82.2
2026-W02,AIP011,151325,61.9,5.26,2.07,67.8,7.3,5.5,1264,85.5
2026-W03,AIP011,107227,58.2,2.83,2.81,70.0,8.1,6.4,1404,80.2
2026-W04,AIP011,121924,60.6,4.43,3.57,75.0,8.0,8.0,1141,84.1
2026-W05,AIP011,148965,61.1,5.87,2.33,80.8,7.7,6.9,1106,80.6
2026-W06,AIP011,140093,56.5,5.17,2.74,69.2,7.7,6.0,1081,81.4
2026-W07,AIP011,130808,66.2,3.69,1.8,71.6,7.8,5.3,1322,86.7
2026-W08,AIP011,139055,56.0,4.44,2.11,69.7,10.5,6.6,1335,78.5
2026-W09,AIP011,132501,62.8,3.37,2.34,72.1,6.4,4.9,1093,87.9
2026-W10,AIP011,144633,59.3,3.96,4.15,80.9,6.7,6.1,1250,85.7
2026-W11,AIP011,143206,58.6,5.2,3.76,74.0,7.4,5.1,1227,69.0
2026-W12,AIP011,130794,51.7,6.25,3.03,72.3,7.9,7.2,1316,81.9
2026-W01,AIP012,80734,50.3,5.41,1.84,59.2,8.3,7.2,1367,73.7
2026-W02,AIP012,98255,54.0,3.58,3.8,62.2,8.4,5.5,1345,74.2
2026-W03,AIP012,93465,55.3,3.56,1.5,62.0,8.9,5.0,1497,77.0
2026-W04,AIP012,91992,52.7,3.54,3.87,59.7,8.4,6.3,1309,72.0
2026-W05,AIP012,95642,50.3,3.46,3.7,65.6,9.1,5.7,1096,68.3
2026-W06,AIP012,95773,48.3,4.82,3.67,54.5,9.8,5.8,1238,72.5
2026-W07,AIP012,78591,53.9,3.36,2.05,62.8,9.9,6.3,1408,68.0
2026-W08,AIP012,101950,54.3,2.77,1.81,66.2,9.7,7.1,1380,73.3
2026-W09,AIP012,83495,47.8,3.68,2.15,57.9,7.9,6.1,1249,77.1
2026-W10,AIP012,97625,50.2,4.93,3.17,63.0,9.8,6.3,1673,66.4
2026-W11,AIP012,82205,48.8,5.56,2.59,63.0,11.3,6.3,1262,68.7
2026-W12,AIP012,84743,56.7,3.54,3.13,62.2,10.7,5.2,1477,76.0
